area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-04-08,SUSINO,67,73,da caduta petali a scamiciatura
Bologna e Ferrara,2026-04-08,VITE,7,53,da inizio germogliamento a grappolini visibili
Bologna e Ferrara,2026-04-15,ACTINIDIA,7,55,verde: germogliamento; giallo: comparsa bottoni fiorali
Bologna e Ferrara,2026-04-15,ALBICOCCO,71,79,accrescimento frutti
Bologna e Ferrara,2026-04-15,CILIEGIO,67,79,da caduta petali ad accrescimento frutti || da caduta petali a ingrossamento frutti
Bologna e Ferrara,2026-04-15,GIRASOLE,0,0,da pre-semina a semina
Bologna e Ferrara,2026-04-15,KAKI,7,55,da germogliamento a comparsa abbozzi fiorali
Bologna e Ferrara,2026-04-15,MAIS,0,9,emergenza || da pre-emergenza a emergenza
Bologna e Ferrara,2026-04-15,MELO,67,71,da caduta petali ad allegagione || caduta petali ad allegagione
Bologna e Ferrara,2026-04-15,NOCE,7,59,da germogliamento a emissione degli amenti
Bologna e Ferrara,2026-04-15,OLIVO,1,9,ripresa vegetativa
Bologna e Ferrara,2026-04-15,PERO,71,71,allegagione
Bologna e Ferrara,2026-04-15,PESCO,71,79,da scamiciatura a ingrossamento frutti
Bologna e Ferrara,2026-04-15,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto || pre-trapianto
Bologna e Ferrara,2026-04-15,SOIA,0,0,Pre-semina
Bologna e Ferrara,2026-04-15,SUSINO,67,72,da caduta petali ad inizio ingrossamento frutti || da caduta petali a inizio ingrossamento frutti
Bologna e Ferrara,2026-04-15,VITE,11,53,da prime foglie distese a grappolini visibili
Bologna e Ferrara,2026-04-22,ACTINIDIA,7,55,verde: germogliamento; giallo: comparsa bottoni fiorali
Bologna e Ferrara,2026-04-22,ALBICOCCO,71,79,da accrescimento frutti a indurimento nocciolo
Bologna e Ferrara,2026-04-22,CILIEGIO,67,79,da caduta petali a scamiciatura accrescimento frutti || accrescimento frutti
Bologna e Ferrara,2026-04-22,GIRASOLE,0,9,da semina a emergenza
Bologna e Ferrara,2026-04-22,KAKI,51,55,comparsa abbozzi fiorali
Bologna e Ferrara,2026-04-22,MAIS,9,13,da emergenza a 2/3 foglie
Bologna e Ferrara,2026-04-22,MELO,71,79,da allegagione ad ingrossamento frutti
Bologna e Ferrara,2026-04-22,NOCE,7,59,da germogliamento a emissione degli amenti
Bologna e Ferrara,2026-04-22,OLIVO,1,52,da ripresa vegetativa a inizio mignolatura
Bologna e Ferrara,2026-04-22,PERO,71,79,da allegagione a accrescimento frutti
Bologna e Ferrara,2026-04-22,PESCO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-04-22,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto || pre-trapianto
Bologna e Ferrara,2026-04-22,SOIA,0,0,Pre-semina a semina
Bologna e Ferrara,2026-04-22,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-04-22,VITE,11,53,da sviluppo foglie a grappolini visibili
Bologna e Ferrara,2026-04-29,ACTINIDIA,51,61,da comparsa bottoni fiorali a inizio fioritura
Bologna e Ferrara,2026-04-29,ALBICOCCO,71,79,da accrescimento frutti a indurimento nocciolo
Bologna e Ferrara,2026-04-29,CILIEGIO,71,85,da accrescimento frutti a invaiatura
Bologna e Ferrara,2026-04-29,GIRASOLE,0,10,da pre-emergenza a cotiledoni
Bologna e Ferrara,2026-04-29,KAKI,51,55,comparsa abbozzi fiorali
Bologna e Ferrara,2026-04-29,MAIS,12,15,2/5 foglie
Bologna e Ferrara,2026-04-29,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-04-29,NOCE,60,69,fioritura
Bologna e Ferrara,2026-04-29,OLIVO,1,52,da ripresa vegetativa a inizio mignolatura
Bologna e Ferrara,2026-04-29,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-04-29,PESCO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-04-29,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto
Bologna e Ferrara,2026-04-29,SOIA,0,9,da semina a emergenza
Bologna e Ferrara,2026-04-29,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-04-29,VITE,53,55,da grappolini visibili a racimoli separati
Bologna e Ferrara,2026-05-06,ACTINIDIA,60,69,fioritura
Bologna e Ferrara,2026-05-06,ALBICOCCO,75,77,indurimento nocciolo
Bologna e Ferrara,2026-05-06,CILIEGIO,71,81,accrescimento frutti-inizio maturazione cv. precocissime
Bologna e Ferrara,2026-05-06,GIRASOLE,10,14,da cotiledoni a 2/4 foglie
Bologna e Ferrara,2026-05-06,KAKI,60,69,fioritura
Bologna e Ferrara,2026-05-06,MAIS,15,19,5/10 foglie
Bologna e Ferrara,2026-05-06,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-06,NOCE,67,69,da fine fioritura ad allegagione
Bologna e Ferrara,2026-05-06,OLIVO,50,57,mignolatura
Bologna e Ferrara,2026-05-06,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-05-06,PESCO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-06,POMODORO_INDUSTRIA,0,61,da pre-trapianto a inizio fioritura primo palco varietà precocissime
Bologna e Ferrara,2026-05-06,SOIA,0,11,da pre-semina a prime foglie vere
Bologna e Ferrara,2026-05-06,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-06,VITE,55,55,racimoli separati
Bologna e Ferrara,2026-05-13,ACTINIDIA,60,69,da fioritura ad allegagione
Bologna e Ferrara,2026-05-13,ALBICOCCO,75,81,da indurimento nocciolo a inizio maturazione
Bologna e Ferrara,2026-05-13,CILIEGIO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-05-13,GIRASOLE,12,16,2/6 foglie
Bologna e Ferrara,2026-05-13,KAKI,60,69,fioritura
Bologna e Ferrara,2026-05-13,MAIS,16,19,6/10 foglie
Bologna e Ferrara,2026-05-13,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-13,NOCE,69,69,allegagione
Bologna e Ferrara,2026-05-13,OLIVO,50,57,mignolatura
Bologna e Ferrara,2026-05-13,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-05-13,PESCO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-13,POMODORO_INDUSTRIA,0,71,pre-trapianto - allegagione primo palco - fioritura secondo palco
Bologna e Ferrara,2026-05-13,SOIA,9,11,da emergenza a prime foglie vere
Bologna e Ferrara,2026-05-13,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-13,VITE,55,57,da racimoli separati a inizio bottoni fiorali separati
Bologna e Ferrara,2026-05-20,ACTINIDIA,60,69,da fioritura ad allegagione
Bologna e Ferrara,2026-05-20,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-05-20,CILIEGIO,81,89,da invaiatura a maturazione || da invaiatura maturazione
Bologna e Ferrara,2026-05-20,GIRASOLE,14,16,4/6 foglie
Bologna e Ferrara,2026-05-20,KAKI,51,69,da abbozzi fiorali a fioritura
Bologna e Ferrara,2026-05-20,MAIS,16,19,6/10 foglie
Bologna e Ferrara,2026-05-20,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-20,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-05-20,OLIVO,50,69,mignolatura - fioritura
Bologna e Ferrara,2026-05-20,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-05-20,PESCO,71,79,da ingrossamento frutti a indurimento nocciolo
Bologna e Ferrara,2026-05-20,POMODORO_INDUSTRIA,0,71,pre-trapianto - allegagione primo palco - fioritura secondo palco
Bologna e Ferrara,2026-05-20,SOIA,11,13,da prime foglie vere a 2° foglia trilobata
Bologna e Ferrara,2026-05-20,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-20,VITE,60,61,inizio fioritura
Bologna e Ferrara,2026-05-27,ACTINIDIA,69,79,da allegagione a ingrossamento frutti
Bologna e Ferrara,2026-05-27,ALBICOCCO,75,89,da indurimento nocciolo a maturazione
Bologna e Ferrara,2026-05-27,CILIEGIO,81,89,da invaiatura a maturazione || da invaiatura maturazione
Bologna e Ferrara,2026-05-27,KAKI,60,69,da fioritura a caduta petali
Bologna e Ferrara,2026-05-27,MAIS,18,39,da 8 foglie a levata
Bologna e Ferrara,2026-05-27,MELO,71,79,da ingrossamento frutti a frutto noce
Bologna e Ferrara,2026-05-27,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-05-27,OLIVO,60,69,fioritura
Bologna e Ferrara,2026-05-27,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-05-27,PESCO,71,79,da ingrossamento frutti a indurimento nocciolo
Bologna e Ferrara,2026-05-27,POMODORO_INDUSTRIA,0,73,pre-trapianto - allegagione terzo palco
Bologna e Ferrara,2026-05-27,SOIA,13,15,2-4 foglie trilobate
Bologna e Ferrara,2026-05-27,SUSINO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-05-27,VITE,60,71,fioritura – allegagione
Bologna e Ferrara,2026-06-03,ACTINIDIA,69,79,da allegagione a ingrossamento frutti
Bologna e Ferrara,2026-06-03,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-06-03,CILIEGIO,81,89,maturazione
Bologna e Ferrara,2026-06-03,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-06-03,MAIS,18,39,da 8 foglie a levata
