coltura,dicitura,bbch_min,bbch_max,verifica
CILIEGIO,ingrossamento frutti – inizio invaiatura cv.precoci,71,81,due_letture_concordi
CILIEGIO,ingrossamento frutti – inizio maturazione cv.precoci,71,81,due_letture_concordi
CILIEGIO,ingrossamento frutti – inizio maturazione cv.precocissime,71,81,due_letture_concordi
CILIEGIO,ingrossamento frutti – maturazione cv.precoci,71,89,due_letture_concordi
CILIEGIO,inizio rigonfiamento gemma,51,51,due_letture_concordi
CILIEGIO,invaiatura – maturazione cv.medio precoci,81,89,due_letture_concordi
CILIEGIO,invaiatura – maturazione cv.precoci,81,89,due_letture_concordi
CILIEGIO,maturazione,81,89,due_letture_concordi
CILIEGIO,post raccolta,91,93,due_letture_concordi
CILIEGIO,post – raccolta,91,93,due_letture_concordi
CILIEGIO,rigonfiamento gemma,51,51,due_letture_concordi
CILIEGIO,rigonfiamento gemma – rottura gemma,51,53,due_letture_concordi
CILIEGIO,rigonfiamento gemme,51,51,due_letture_concordi
CILIEGIO,rottura gemma,53,53,due_letture_concordi
CILIEGIO,rottura gemme,53,53,due_letture_concordi
CILIEGIO,termine raccolta,89,89,due_letture_concordi
FAGIOLINO,da sviluppo vegetativo a raccolta,10,89,due_letture_concordi
GIRASOLE,2 – 4 foglie,12,14,due_letture_concordi
GIRASOLE,2 – 8 foglie,12,18,due_letture_concordi
GIRASOLE,2/6 foglie,12,16,due_letture_concordi
GIRASOLE,2/8 foglie,12,18,due_letture_concordi
GIRASOLE,4 – 10 foglie,14,19,due_letture_concordi
GIRASOLE,4 – 6 foglie,14,16,due_letture_concordi
GIRASOLE,4/10 foglie,14,19,due_letture_concordi
GIRASOLE,4/6 foglie,14,16,due_letture_concordi
GIRASOLE,da 4 foglie ad inizio allungamento stelo,14,39,due_letture_concordi
GIRASOLE,da cotiledoni a 2 – 4 foglie,10,14,due_letture_concordi
GIRASOLE,da cotiledoni a 2 – 6 foglie,10,16,due_letture_concordi
GIRASOLE,da cotiledoni a 2/4 foglie,10,14,due_letture_concordi
GIRASOLE,da cotiledoni a 4 – 6 foglie,10,16,due_letture_concordi
GIRASOLE,da emergenza a 2 – 4 foglie,9,14,due_letture_concordi
GIRASOLE,da emergenza a 2/4 foglie,9,14,due_letture_concordi
GIRASOLE,da emergenza a 4 – 6 foglie,9,16,due_letture_concordi
GIRASOLE,da emergenza a 4/6 foglie,9,16,due_letture_concordi
GIRASOLE,da pre – emergenza a cotiledoni,0,10,due_letture_concordi
GIRASOLE,da pre – semina a semina,0,0,due_letture_concordi
GIRASOLE,da semina a emergenza,0,9,due_letture_concordi
GIRASOLE,da semina ad emergenza,0,9,due_letture_concordi
